Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-04-10 15:00,15.81,0.42,0.22,0
15 Min,2021-04-10 15:15,14.95,0.55,0.25,0
15 Min,2021-04-10 15:30,13.96,0.57,0.22,0
15 Min,2021-04-10 15:45,13.03,0.29,0.2,0
15 Min,2021-04-10 16:00,13.76,0.38,0.22,0
15 Min,2021-04-10 16:15,15.55,0.35,0.26,0
15 Min,2021-04-10 16:30,14.09,0.04,0.2,0
15 Min,2021-04-10 16:45,14.55,0.23,0.26,0
15 Min,2021-04-10 17:00,14.88,0.23,0.27,0
15 Min,2021-04-10 17:15,15.02,0.12,0.22,0
15 Min,2021-04-10 17:30,13.56,0.35,0.2,0
15 Min,2021-04-10 17:45,15.08,0.48,0.25,0
15 Min,2021-04-10 18:00,13.96,0.27,0.21,0
15 Min,2021-04-10 18:15,14.29,0.36,0.22,0
15 Min,2021-04-10 18:30,11.78,0.29,0.26,0
15 Min,2021-04-10 18:45,21.5,0.54,0.49,0
15 Min,2021-04-10 19:00,24.28,0.51,0.71,0
15 Min,2021-04-10 19:15,21.96,0.18,0.27,0
15 Min,2021-04-10 19:30,15.68,0.42,0.29,0.3
15 Min,2021-04-10 19:45,17.13,0.79,0.32,0.4
15 Min,2021-04-10 20:00,20.64,0.88,0.57,0.6
15 Min,2021-04-10 20:15,21.04,0.26,0.38,0.2
15 Min,2021-04-10 20:30,19.38,0.75,0.52,0
15 Min,2021-04-10 20:45,23.22,0.61,0.48,0.1
15 Min,2021-04-10 21:00,20.04,0.67,0.42,0.5
15 Min,2021-04-10 21:15,19.91,0.72,0.42,0.9
15 Min,2021-04-10 21:30,18.52,0.27,0.35,0.7
15 Min,2021-04-10 21:45,17.2,0.59,0.31,0.8
15 Min,2021-04-10 22:00,16.87,0.57,0.33,0.7
15 Min,2021-04-10 22:15,17.2,0.68,0.33,0.7
15 Min,2021-04-10 22:30,18.19,0.52,0.32,0.2
15 Min,2021-04-10 22:45,17.2,0.68,0.32,0.2
15 Min,2021-04-10 23:00,15.22,0.38,0.25,0.1
15 Min,2021-04-10 23:15,14.95,0.67,0.27,0
15 Min,2021-04-10 23:30,19.78,0.74,0.46,0
15 Min,2021-04-10 23:45,20.51,0.71,0.47,0.1
15 Min,2021-04-11 0:00,21.1,0.65,0.49,0
15 Min,2021-04-11 0:15,21.5,0.73,0.47,0
15 Min,2021-04-11 0:30,20.38,0.49,0.42,0.5
15 Min,2021-04-11 0:45,18.72,0.39,0.35,0.9
15 Min,2021-04-11 1:00,17.13,0.36,0.31,0.7
15 Min,2021-04-11 1:15,16.94,0.43,0.32,1.1
15 Min,2021-04-11 1:30,17.2,0.21,0.3,0.5
15 Min,2021-04-11 1:45,16.14,0.11,0.29,0.4
15 Min,2021-04-11 2:00,15.88,0.2,0.29,0.1
15 Min,2021-04-11 2:15,17.4,0.31,0.32,0
15 Min,2021-04-11 2:30,16.01,0.13,0.26,0.3
15 Min,2021-04-11 2:45,15.15,0.51,0.27,0
15 Min,2021-04-11 3:00,15.55,0.03,0.24,0
15 Min,2021-04-11 3:15,14.95,0.37,0.25,0
15 Min,2021-04-11 3:30,14.69,0.3,0.24,0
15 Min,2021-04-11 3:45,14.55,0.07,0.24,0
15 Min,2021-04-11 4:00,16.34,0.09,0.28,0
15 Min,2021-04-11 4:15,15.28,0.23,0.26,0
15 Min,2021-04-11 4:30,15.28,0.46,0.26,0
15 Min,2021-04-11 4:45,14.62,0.02,0.22,0
15 Min,2021-04-11 5:00,13.96,0.08,0.21,0
15 Min,2021-04-11 5:15,13.69,0,0.21,0
15 Min,2021-04-11 5:30,13.89,0.21,0.26,0
15 Min,2021-04-11 5:45,15.48,0.36,0.24,0
15 Min,2021-04-11 6:00,15.15,0.32,0.24,0
15 Min,2021-04-11 6:15,15.55,0.58,0.3,0
15 Min,2021-04-11 6:30,15.41,0.33,0.23,0
15 Min,2021-04-11 6:45,15.41,0.71,0.32,0
15 Min,2021-04-11 7:00,16.67,0.31,0.27,0
15 Min,2021-04-11 7:15,15.81,0.48,0.28,0
15 Min,2021-04-11 7:30,16.21,0.46,0.25,0
15 Min,2021-04-11 7:45,14.42,0.44,0.24,0
15 Min,2021-04-11 8:00,15.81,0.73,0.31,0
15 Min,2021-04-11 8:15,18.13,0.62,0.34,0
15 Min,2021-04-11 8:30,16.54,0.66,0.29,0
15 Min,2021-04-11 8:45,15.28,0.57,0.26,0
15 Min,2021-04-11 9:00,17,0.42,0.3,0
15 Min,2021-04-11 9:15,15.94,0.52,0.28,0
15 Min,2021-04-11 9:30,14.69,0.49,0.24,0
