Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-04-04 6:00,14.22,0.33,0.29,0
15 Min,2021-04-04 6:15,17.07,0.27,0.27,0
15 Min,2021-04-04 6:30,14.42,0.26,0.22,0
15 Min,2021-04-04 6:45,16.08,0.33,0.28,0
15 Min,2021-04-04 7:00,13.83,0.33,0.24,0
15 Min,2021-04-04 7:15,14.29,0.36,0.18,0
15 Min,2021-04-04 7:30,11.25,0.25,0.18,0
15 Min,2021-04-04 7:45,14.03,0.2,0.18,0
15 Min,2021-04-04 8:00,12.37,0.43,0.19,0
15 Min,2021-04-04 8:15,14.49,0.71,0.3,0
15 Min,2021-04-04 8:30,17.2,0.54,0.26,0
15 Min,2021-04-04 8:45,14.62,0.21,0.27,0
15 Min,2021-04-04 9:00,14.55,0.48,0.2,0
15 Min,2021-04-04 9:15,14.36,0.59,0.28,0
15 Min,2021-04-04 9:30,17.2,0.68,0.3,0
15 Min,2021-04-04 9:45,16.74,0.45,0.27,0
15 Min,2021-04-04 10:00,15.41,0.4,0.26,0
15 Min,2021-04-04 10:15,12.77,0.23,0.19,0
15 Min,2021-04-04 10:30,12.31,0.12,0.16,0
15 Min,2021-04-04 10:45,12.97,0.38,0.24,0
15 Min,2021-04-04 11:00,16.94,0.37,0.32,0
15 Min,2021-04-04 11:15,17.13,0.26,0.31,0
15 Min,2021-04-04 11:30,15.74,0.37,0.26,0
15 Min,2021-04-04 11:45,14.82,0.18,0.21,0
15 Min,2021-04-04 12:00,18.52,0.31,0.45,0
15 Min,2021-04-04 12:15,17,0.2,0.28,0
15 Min,2021-04-04 12:30,16.67,0.17,0.32,0
15 Min,2021-04-04 12:45,15.55,0.05,0.23,0
15 Min,2021-04-04 13:00,14.03,0.07,0.3,0
15 Min,2021-04-04 13:15,17.86,0.13,0.29,0
15 Min,2021-04-04 13:30,18.19,0.23,0.39,0
15 Min,2021-04-04 13:45,17.99,0.3,0.35,0
15 Min,2021-04-04 14:00,16.94,0.39,0.28,0
15 Min,2021-04-04 14:15,14.55,0.27,0.26,0
15 Min,2021-04-04 14:30,17.2,0.63,0.43,0
15 Min,2021-04-04 14:45,21.04,0.5,0.44,0
15 Min,2021-04-04 15:00,18.32,0.35,0.28,0
15 Min,2021-04-04 15:15,14.29,0.08,0.22,0
15 Min,2021-04-04 15:30,18.92,0.66,0.42,0
15 Min,2021-04-04 15:45,14.82,0.37,0.22,0
15 Min,2021-04-04 16:00,15.48,0.35,0.29,0
15 Min,2021-04-04 16:15,16.21,0.12,0.27,0
15 Min,2021-04-04 16:30,13.89,0.28,0.25,0
15 Min,2021-04-04 16:45,16.67,0.44,0.31,0
15 Min,2021-04-04 17:00,15.94,0.25,0.23,0
15 Min,2021-04-04 17:15,14.55,0.15,0.22,0
15 Min,2021-04-04 17:30,13.36,0.02,0.2,0
15 Min,2021-04-04 17:45,15.48,0.19,0.29,0
15 Min,2021-04-04 18:00,14.95,0.07,0.23,0
15 Min,2021-04-04 18:15,13.96,0,0.19,0
15 Min,2021-04-04 18:30,16.67,0.05,0.36,0
15 Min,2021-04-04 18:45,13.36,0.05,0.18,0
15 Min,2021-04-04 19:00,12.97,0.03,0.2,0
15 Min,2021-04-04 19:15,13.46,0.15,0.25,0
15 Min,2021-04-04 19:30,16.6,0.16,0.28,0
15 Min,2021-04-04 19:45,14.09,0,0.18,0
15 Min,2021-04-04 20:00,12.7,0.19,0.21,0
15 Min,2021-04-04 20:15,16.27,0.16,0.3,0
15 Min,2021-04-04 20:30,14.55,0,0.22,0
15 Min,2021-04-04 20:45,14.82,0.06,0.24,0
15 Min,2021-04-04 21:00,14.16,0.13,0.23,0
15 Min,2021-04-04 21:15,14.42,0.04,0.21,0
15 Min,2021-04-04 21:30,12.83,0.13,0.18,0
15 Min,2021-04-04 21:45,11.45,0.07,0.18,0
15 Min,2021-04-04 22:00,16.14,0.13,0.26,0
15 Min,2021-04-04 22:15,14.69,0.3,0.27,0
15 Min,2021-04-04 22:30,16.54,0.16,0.29,0
15 Min,2021-04-04 22:45,13.76,0.01,0.18,0
15 Min,2021-04-04 23:00,13.36,0.07,0.2,0
15 Min,2021-04-04 23:15,12.57,0.04,0.17,0
15 Min,2021-04-04 23:30,13.3,0.02,0.23,0
15 Min,2021-04-04 23:45,15.22,0,0.25,0
15 Min,2021-04-05 0:00,15.35,0.01,0.25,0
15 Min,2021-04-05 0:15,16.67,0.19,0.31,0
15 Min,2021-04-05 0:30,15.41,0,0.27,0
15 Min,2021-04-05 0:45,15.61,0,0.25,0
15 Min,2021-04-05 1:00,14.62,0,0.24,0
15 Min,2021-04-05 1:15,14.75,0.02,0.24,0
15 Min,2021-04-05 1:30,15.55,0.2,0.27,0
15 Min,2021-04-05 1:45,15.68,0,0.27,0
15 Min,2021-04-05 2:00,16.34,0.1,0.31,0
15 Min,2021-04-05 2:15,16.74,0,0.3,0
15 Min,2021-04-05 2:30,15.48,0,0.24,0
15 Min,2021-04-05 2:45,14.88,0,0.27,0
15 Min,2021-04-05 3:00,15.61,0,0.25,0
15 Min,2021-04-05 3:15,15.41,0,0.26,0
15 Min,2021-04-05 3:30,14.95,0,0.24,0
15 Min,2021-04-05 3:45,15.22,0,0.25,0
15 Min,2021-04-05 4:00,15.74,0.04,0.29,0
15 Min,2021-04-05 4:15,15.55,0.18,0.28,0
15 Min,2021-04-05 4:30,21.7,0,0.59,0
15 Min,2021-04-05 4:45,23.15,0.09,0.52,0
15 Min,2021-04-05 5:00,20.77,0,0.46,0
15 Min,2021-04-05 5:15,22.09,0,0.55,0
15 Min,2021-04-05 5:30,21.63,0.05,0.44,0
15 Min,2021-04-05 5:45,21.57,0,0.55,0
15 Min,2021-04-05 6:00,21.23,0.2,0.42,0
15 Min,2021-04-05 6:15,17.99,0.24,0.34,0
15 Min,2021-04-05 6:30,15.15,0.13,0.23,0
15 Min,2021-04-05 6:45,15.68,0.07,0.25,0
15 Min,2021-04-05 7:00,14.03,0.08,0.22,0
15 Min,2021-04-05 7:15,13.03,0.17,0.17,0
15 Min,2021-04-05 7:30,13.56,0.11,0.49,0
15 Min,2021-04-05 7:45,26.26,0.09,0.53,0
15 Min,2021-04-05 8:00,15.28,0.25,0.26,0
15 Min,2021-04-05 8:15,16.27,0.25,0.27,0
15 Min,2021-04-05 8:30,14.29,0.11,0.22,0
15 Min,2021-04-05 8:45,18.46,0.05,0.47,0
15 Min,2021-04-05 9:00,21.43,0.17,0.48,0
15 Min,2021-04-05 9:15,20.64,0.3,0.39,0
15 Min,2021-04-05 9:30,15.15,0.2,0.22,0
15 Min,2021-04-05 9:45,14.55,0.2,0.26,0
15 Min,2021-04-05 10:00,16.14,0.18,0.26,0
15 Min,2021-04-05 10:15,13.36,0.13,0.21,0
15 Min,2021-04-05 10:30,14.75,0.27,0.28,0
15 Min,2021-04-05 10:45,16.94,0.17,0.26,0
15 Min,2021-04-05 11:00,14.29,0.12,0.28,0
15 Min,2021-04-05 11:15,18.26,0.14,0.31,0
15 Min,2021-04-05 11:30,13.96,0.14,0.23,0
15 Min,2021-04-05 11:45,16.47,0.24,0.36,0
15 Min,2021-04-05 12:00,18.92,0.3,0.34,0.1
15 Min,2021-04-05 12:15,16.14,0.11,0.26,0.6
15 Min,2021-04-05 12:30,19.38,0.17,0.44,0.2
15 Min,2021-04-05 12:45,15.15,0.01,0.23,0.1
15 Min,2021-04-05 13:00,13.76,0,0.21,0.8
15 Min,2021-04-05 13:15,15.15,0.47,0.41,0.2
15 Min,2021-04-05 13:30,20.24,0.72,0.32,0
15 Min,2021-04-05 13:45,16.67,0.25,0.28,0
15 Min,2021-04-05 14:00,13.69,0.12,0.21,0
15 Min,2021-04-05 14:15,14.42,0.21,0.27,0
15 Min,2021-04-05 14:30,18.46,0.35,0.36,0
15 Min,2021-04-05 14:45,17.13,0.38,0.34,0
15 Min,2021-04-05 15:00,16.54,0.11,0.24,0
15 Min,2021-04-05 15:15,13.83,0.04,0.23,0
15 Min,2021-04-05 15:30,15.94,0.16,0.27,0
15 Min,2021-04-05 15:45,17,0.34,0.34,0
15 Min,2021-04-05 16:00,16.34,0.17,0.31,0
15 Min,2021-04-05 16:15,22.56,0.45,0.64,0
15 Min,2021-04-05 16:30,16.01,0.09,0.24,0
15 Min,2021-04-05 16:45,16.41,0.06,0.26,0
15 Min,2021-04-05 17:00,15.22,0.06,0.26,0
15 Min,2021-04-05 17:15,14.22,0.19,0.24,0
15 Min,2021-04-05 17:30,16.21,0.22,0.33,0
15 Min,2021-04-05 17:45,19.85,0.88,0.42,0
15 Min,2021-04-05 18:00,16.94,0.65,0.27,0
15 Min,2021-04-05 18:15,14.88,0.37,0.39,0
15 Min,2021-04-05 18:30,25.34,0.33,0.57,0
15 Min,2021-04-05 18:45,17.6,0.78,0.38,0
